ID,SERVICE,FROM,AUTHOR,DESCRIPTION,DATE ENCODED,DATE ACCOMPLISHED,STATUS,ATTENDED BY,DELSTAT
149,PRNTR,gs faculty,lemuel,check and repair,09-11-2017 10:40AM,,waiting,,0
150,PHNCALL,c,c,c,12-31-2001 11:02PM,,waiting,,1
151,SYSTMUNIT,gs guidance office,jeo,repair of telephone unit,12-31-2001 11:03PM,,waiting,,0
152,SYSTMUNIT,jhs library,lanver,request for check up + repair all the computer units of the hs library ,01-01-2002 10:21PM,,waiting,,0
153,NTWRK,shs student activity coordinator's office,jessa,installation of internet connection at the shs student activity coordinator's office,01-01-2002 10:47PM,,waiting,,0
154,RSRVTION,college department,jessa,genyo lab:09/19/17-09/22/17 8:00-9:00,09-18-2017 09:12AM,,waiting,,0
155,RSRVTION,grade school,jessa,genyo lab.:09/19/17 10:40-11:30,09-18-2017 09:36AM,,waiting,,0
156,PHNCALL,rpo,paul,to sir carlos from jp,09-18-2017 12:54AM,,waiting,,1
157,RSRVTION,shs faculty dept.,lanver,hs lab1 (comlab1):september 19 2017,09-18-2017 01:32AM,,waiting,,1
158,RSRVTION,college faculty,lanver,internet room (netlab):september 20 2017,09-18-2017 02:08AM,,waiting,,1
159,NTWRK,college (bshrm lab ),lanver,lan connection,09-18-2017 02:10AM,,waiting,,0
160,RSRVTION,digoy dept.,digay,genyo lab:09/20/17,09-18-2017 06:21AM,,waiting,,1
161,PHNCALL,rao,jeo,return call for sir carlos from rao,09-20-2017 08:57AM,,waiting,,0
162,RSRVTION,c,c,genyo lab 1 & 2:c,09-22-2017 01:50PM,,waiting,,1
163,RSRVTION,shs dept.,ken diapues,genyo lab 1:09-23-17/09-30-17 9:30am-12:00pm & 3:30pm-6:20pm/9:30am-12:00pm & 1:00pm-6:20pm,09-22-2017 01:53PM,,waiting,,0
164,RSRVTION,shs dept.,ken diapues,genyo lab 2:09-23-17/09-30-17 3:40pm-6:20pm/7:50am-11:20am & 2:00pm-6:20pm,09-22-2017 01:55PM,,waiting,,0
165,PRNTR,ibed-sac,jessa,repair printer,09-25-2017 02:45PM,,waiting,,0
166,SYSTMUNIT,jhs guidanceitor (cindy dama),rain,borrow 2 monitor aoc pn. 156sa  sn. e6488ja008911  aoc pn. 152v  sn. 41583ja050951,09-25-2017 03:49PM,,waiting,,0
167,RSRVTION,,,genyo lab:,09-25-2017 06:08PM,,waiting,,1
168,RSRVTION,hs dept.,ken diapues,genyo lab 2:09/25/17 10:40-11:30am,09-25-2017 06:09PM,,waiting,,0
169,RSRVTION,miguela j. dagoy,lanver,"hs lab1 (comlab1):october 2 & 3,2017",09-26-2017 12:09PM,,waiting,,0
170,RSRVTION,ibed,lemuel,genyo:9/27/2017 1:00 to 1:50,09-27-2017 06:03AM,,waiting,,0
171,PRNTR,clinic,dexter amante,installation of l120 printer and epson,10-03-2017 10:55AM,,waiting,,0
172,PHNCALL,,,,10-04-2017 12:57AM,,waiting,,0
173,PHNCALL,support services,dexter amante,requested to repair their printer in support services,10-04-2017 01:00AM,,waiting,,0
174,SYSTMUNIT,ceso,jeo,telephone repair,10-04-2017 02:19AM,,waiting,,0
175,PRNTR,finance,vic,4,10-10-2017 05:20AM,,waiting,,1
176,PRNTR,hrdo,dexter amante,request for printer repair,10-10-2017 07:00AM,,waiting,,0
177,SYSTMUNIT,finance,vic,installation,10-10-2017 07:16AM,,waiting,,0
178,RSRVTION,vic,\,internetlab:10/13/17 8_9:00am,10-13-2017 01:15AM,,waiting,,1
179,RSRVTION,college dep,vic,netlab:10/13/17,10-13-2017 01:18AM,,waiting,,0
180,RSRVTION,c,c,:c,10-20-2017 02:16AM,,waiting,,1
181,RSRVTION,college faculty ryan galendez,james war,net lab:10/23-24/2017 1:00-5:00pm,10-20-2017 02:18AM,,waiting,,0
182,RSRVTION,,,"internet lab:oct. 20, 2017",10-20-2017 08:47AM,,waiting,,1
183,RSRVTION,college dept.,ken diapues,"internet lab:oct. 20, 2017 7:40am-9:00am",10-20-2017 08:48AM,,waiting,,0
184,RSRVTION,shs ,lemuel,hslab 1 use 2 computer units:11-07-17/9-7:00,11-07-2017 10:41AM,,waiting,,0
185,RSRVTION,hs mark gil b. restor,james w.,"com lab 1:nov.8-10, 2017 8am-7pm",11-08-2017 09:35AM,,waiting,,0
186,SYSTMUNIT,camino,rain,install videomaker or video editor in camino computer,11-08-2017 11:38AM,,waiting,,0
187,RSRVTION,c,c,sso:c,11-08-2017 03:47PM,,waiting,,1
188,SYSTMUNIT,sso,james war,repair sso telephone,11-08-2017 03:48PM,,waiting,,0
189,PRNTR,shs sac,,2epson l36,11-13-2017 08:55AM,,waiting,,0
190,RSRVTION,hs ,,4computer comlab:8:amto:6:pm,11-13-2017 08:57AM,,waiting,,0
191,RSRVTION,hs office,jw,com lab 1:11/15/17 8am - 6pm,11-15-2017 08:46AM,,waiting,,0
192,RSRVTION,ibed,jeo,genyolab1:11/15/17&11/16/17,11-15-2017 12:12PM,,waiting,,0
193,RSRVTION,dean,ken diapues,com lab1:11/16-17/17 11:00am-12:00pm,11-15-2017 01:24PM,,waiting,,0
194,SYSTMUNIT,ibed secretary,davy,borrow monitor in ibed secretary,11-15-2017 04:16PM,,waiting,,0
195,RSRVTION,hs secretary,lemuel,com lab 1:11-20-17/8:00-12:00,11-20-2017 08:49AM,,waiting,,0
196,SYSTMUNIT,gs  guidance,lemuel,repair and printer,11-21-2017 02:34AM,,waiting,,0
197,RSRVTION,c,c,c:c,11-21-2017 02:39AM,,waiting,,1
198,SYSTMUNIT,disbursing in-charge,lemuel,borrow monitor,11-21-2017 02:40AM,,waiting,,0
199,RSRVTION,grade school faculty (clent lapura),rain,internet laboratory:11/23/2017 9:50-10:40am and 2:40-3:30 pm,11-21-2017 09:45AM,,waiting,,0
200,PHNCALL,pco,jeo,brandnew tv ,11-22-2017 12:32AM,,waiting,,0
201,RSRVTION,college library,rain,com lab2 :11/28-29/17,11-23-2017 08:48AM,,waiting,,0
202,RSRVTION,,,:,11-26-2017 09:14AM,,waiting,,0
203,PRNTR,ibed secretary,lemuel,check and repair,11-26-2017 10:46AM,,waiting,,0
204,SYSTMUNIT,bookstore,dexter amante,request checking the cash register of the bookstore extension,11-28-2017 07:32AM,,waiting,,0
205,SYSTMUNIT,asst. principal,jeo,repair pc,11-13-2017 09:53PM,,waiting,,0
206,SYSTMUNIT,shslib,jeo,assemble shs lib with internet,11-14-2017 02:20AM,,waiting,,0
207,RSRVTION,ibed,rain,netlab:12/11-12-13/17,12-09-2017 01:22PM,,waiting,,0
208,SYSTMUNIT,sspp/hs & gs avr,lemuel,telephone repair hs as gs avr,01-08-2018 10:18AM,,waiting,,0
209,SYSTMUNIT,college dept.,rain,repair of telephone @ws counter lisud toplokon ang 1&3,01-09-2018 05:45PM,,waiting,,0
210,PRNTR,shs faculty,dexter amante,repair of shs faculty printer,01-10-2018 10:17AM,,waiting,,0
211,SYSTMUNIT,guidance office,lemuel,repair telephone at ssco(hs guidance),01-10-2018 01:14PM,,waiting,,0
212,SYSTMUNIT,campus ministry,lemuel,telephone repair,01-15-2018 03:49AM,,waiting,,0
213,SYSTMUNIT,camino,jeo,telephone repair,01-31-2018 09:03AM,,waiting,,0
214,SYSTMUNIT,college lib.,rain,request for repair 3 system units @ college lib.,01-31-2018 02:25PM,,waiting,,0
215,SYSTMUNIT,shs,lemuel,request for installation of applications,02-02-2018 08:05AM,,waiting,,0
216,SYSTMUNIT,jhs dept. elsa villanueva,rain,repair of system unit asap,02-08-2018 01:42AM,,waiting,,0
217,SYSTMUNIT,mwsp,lanver,request to check the musical bell at qpb,02-12-2018 09:30AM,,waiting,,0
218,RSRVTION,college dept.,rain,com lab 1:feb 13,02-12-2018 08:45PM,,waiting,,0
219,RSRVTION,college secretary,lanver,"internet laboratory:feb 21, 2018 4-5pm",02-21-2018 09:49AM,,waiting,,0
220,RSRVTION,clent lapura,rain,internet lab:02-22-18,02-21-2018 05:15PM,,waiting,,1
221,RSRVTION,clent lapura,rain,internet lab:02-22-18 01:00 - 02:50 pm,02-21-2018 05:17PM,,waiting,,0
222,RSRVTION,ibed,rain,internet lab:feb. 27 and march 1,02-22-2018 02:39PM,02-26-2018 09:46AM,done,jeo,0
223,RSRVTION,ibed,lanver,"netlab:feb 27,2018 and mar 1 2018",02-27-2018 08:44AM,,waiting,,0
224,RSRVTION,c,c,internet lab.:feb-28-2018 & march-2-2018,02-27-2018 05:55PM,,waiting,,1
225,RSRVTION,shs sac,jessa,internet lab.:feb-28-2018 & march 02.2018  2:00-3:00 pm,02-27-2018 06:01PM,,waiting,,0
